instance,method,init_distance,tabu_distance,savings_pct,tabu_feasible,routes_used,vehicles_available,total_elapsed_seconds,message,best_routes
C201,solomon,663.5976391232928,591.5565566715014,10.856139052418555,True,3,25,76.19843260000926,OK,0->20->22->24->27->30->29->6->32->33->31->35->37->38->39->36->34->28->26->23->18->19->16->14->12->15->17->13->25->9->11->10->8->21->0 || 0->67->63->62->74->72->61->64->66->69->68->65->49->55->54->53->56->58->60->59->57->40->44->46->45->51->50->52->47->43->42->41->48->0 || 0->93->5->75->2->1->99->100->97->92->94->95->98->7->3->4->89->91->88->84->86->83->82->85->76->71->70->73->80->79->81->78->77->96->87->90->0
R201,solomon,1828.4461651774618,1309.826963341507,28.36393062661594,True,5,25,22.307788900012383,OK,0->28->33->65->71->29->12->76->79->81->51->9->78->34->50->3->68->54->4->55->25->24->80->77->70->0 || 0->27->69->52->2->98->61->16->44->38->86->85->99->84->6->94->96->97->37->43->13->89->60->48->17->91->100->93->58->0 || 0->72->95->59->92->14->42->15->39->75->23->67->21->73->40->87->57->41->22->56->74->0 || 0->31->63->30->90->49->46->10->20->32->66->35->1->0 || 0->5->83->45->82->47->36->64->11->19->62->88->7->8->18->53->26->0
RC201,solomon,2082.595849061023,1426.9001415118328,31.484539251570233,True,5,25,23.01182419998804,OK,0->5->45->2->88->98->53->9->10->97->74->13->17->60->0 || 0->72->36->39->42->44->61->71->38->40->41->81->94->96->54->37->35->43->1->4->100->70->0 || 0->65->59->14->47->16->15->11->12->73->78->79->7->8->3->46->6->55->68->56->66->0 || 0->92->95->63->33->28->27->29->31->30->62->67->85->51->76->18->49->22->20->24->89->48->25->77->58->80->0 || 0->69->82->52->83->64->19->21->23->75->87->86->99->57->90->84->50->34->26->32->93->91->0
