experiment,instance,method,config_method,config_iterations,config_total_neighbors,init_distance,tabu_distance,savings_pct,tabu_feasible,routes_used,vehicles_available,total_elapsed_seconds,message,best_routes
C201_fast_solomon,C201,solomon,solomon,80,320,594.323088574344,591.5565566715015,0.46549292060632275,True,3,25,72.083998600021,OK,0->93->5->75->2->1->99->100->97->92->94->95->98->7->3->4->89->91->88->84->86->83->82->85->76->71->70->73->80->79->81->78->77->96->87->90->0 || 0->20->22->24->27->30->29->6->32->33->31->35->37->38->39->36->34->28->26->23->18->19->16->14->12->15->17->13->25->9->11->10->8->21->0 || 0->67->63->62->74->72->61->64->66->69->68->65->49->55->54->53->56->58->60->59->57->40->44->46->45->51->50->52->47->43->42->41->48->0
R201_medium_solomon,R201,solomon,solomon,120,480,1850.8960056328506,1348.1932918909774,27.159965347161208,True,5,25,33.489223199983826,OK,0->39->72->21->2->15->23->67->75->73->40->57->87->85->94->96->97->37->43->13->0 || 0->92->42->14->5->83->45->82->47->36->64->11->19->62->88->7->18->84->8->49->46->48->60->17->91->100->89->0 || 0->27->69->52->95->59->98->61->16->44->38->86->99->6->53->22->41->56->55->54->26->0 || 0->31->63->30->90->10->20->66->32->1->0 || 0->28->33->65->71->29->12->76->51->9->81->78->79->3->50->34->35->68->24->4->74->25->80->77->70->93->58->0
RC201_alt_mix,RC201,solomon,solomon,100,420,2245.049788229103,1413.6702528622484,37.031674741728,True,5,25,27.221518799982732,OK,0->65->14->59->75->52->99->88->90->9->87->86->57->22->49->20->56->66->10->97->17->13->74->24->48->25->77->58->0 || 0->92->95->63->33->28->27->29->31->30->62->67->71->61->81->94->96->68->55->0 || 0->5->45->2->47->16->15->11->12->73->79->7->78->53->6->8->46->3->1->4->60->100->70->0 || 0->72->36->39->42->44->41->38->40->43->35->37->54->93->0 || 0->69->98->82->83->64->19->23->21->18->76->51->84->85->50->34->32->26->89->91->80->0
