method,runs,avg_best_distance,avg_init_distance,avg_runtime_sec,avg_improvement_pct
solomon,3,1172.8629897850633,1558.8133698077063,57.020596066645034,20.448569330719753
clarke_wright,3,1206.3986882892898,1361.2300088752288,18.537855200023234,13.72864607680859
random,3,1274.3122419644942,3306.8414184210537,23.434360299977318,62.14756796774113
greedy,3,1379.5635808998065,2111.2232069531506,10.86371733333605,35.86913038021197
sweep,3,1510.6279281031295,2122.804739016318,10.86445736665822,29.70619223521634
