group,method,runs,avg_best_distance,avg_init_distance,avg_runtime_sec,avg_improvement_pct
C,solomon,1,591.5565566715015,642.22232073384,89.25691759999609,7.889131602346806
C,random,1,625.3792872438703,2968.78106064188,38.6954089999781,78.9348128248751
C,clarke_wright,1,694.3308500035347,1029.6627629948368,36.69663110002875,32.567159369342335
C,greedy,1,838.3921877377053,1880.468130112817,13.268503800034525,55.415772577469504
C,sweep,1,1049.203137776948,1668.8762138597294,11.841331899981014,37.13115873643013
R,clarke_wright,1,1323.2506689422864,1396.5324445230035,9.628864000027534,5.247409458198948
R,solomon,1,1415.3001684539176,1782.0353760397902,54.61029639997287,20.579569435982055
R,sweep,1,1422.9881375340358,1937.815912053083,10.213286800018976,26.567424248962627
R,greedy,1,1429.1958565116488,1984.95587631016,9.486924699973317,27.998608252774616
R,random,1,1468.4342644728697,3043.296824912765,17.56206269998802,51.7485691026881
RC,solomon,1,1511.732244229771,2252.1824126494885,27.194574199966155,32.877006953830396
RC,clarke_wright,1,1601.6145459220488,1657.4948191078463,9.288070500013418,3.3713694028844854
RC,random,1,1729.1231741767424,3908.446369708517,14.045609199965838,55.7593219756602
RC,greedy,1,1871.1026984500656,2468.245614436475,9.835723500000311,24.193010310391784
RC,sweep,1,2059.6925089984047,2761.722091136142,10.538753399974668,25.41999372025626
